1: loss=314.6409606933594 episodes={21.8602, 21.8602} time={2.7836, 2.0529, 0.7306}
2: loss=245.10305786132812 episodes={22.5055, 22.5055} time={2.8884, 2.3465, 0.5418}
3: loss=128.86988830566406 episodes={21.2812, 21.2812} time={3.2854, 2.4777, 0.8076}
4: loss=117.53717803955078 episodes={21.7340, 21.7340} time={2.9486, 2.3708, 0.5777}
5: loss=85.86056518554688 episodes={20.8878, 20.8878} time={2.6104, 1.9880, 0.6224}
6: loss=94.37109375 episodes={21.6064, 21.6064} time={2.5419, 1.9103, 0.6316}
7: loss=78.52102661132812 episodes={21.3333, 21.3333} time={3.1295, 2.6518, 0.4776}
8: loss=73.97859954833984 episodes={21.3229, 21.3229} time={2.5563, 2.0167, 0.5395}
9: loss=116.39517211914062 episodes={21.5851, 21.5851} time={2.5465, 1.9994, 0.5469}
10: loss=99.99332427978516 episodes={22.1209, 22.1209} time={2.4514, 1.9123, 0.5389}
11: loss=143.4376983642578 episodes={22.2065, 22.2065} time={3.0186, 2.3109, 0.7076}
12: loss=101.94837188720703 episodes={22.8764, 22.8764} time={2.8233, 2.3039, 0.5192}
13: loss=115.27070617675781 episodes={22.8989, 22.8989} time={2.7841, 2.1319, 0.6521}
14: loss=141.1436309814453 episodes={22.4725, 22.4725} time={3.0274, 2.3265, 0.7005}
1: loss=[8.102506399154663e-08, 404.7173156738281] episodes={23.5287, 23.5287} time={2.6587, 2.0630, 0.5956}
2: loss=[2.0489096641540527e-08, 184.0321044921875] episodes={21.4421, 21.4421} time={3.0095, 2.4649, 0.5445}
3: loss=[6.58910721540451e-08, 181.63461303710938] episodes={22.6778, 22.6778} time={3.2065, 2.4469, 0.7594}
4: loss=[2.0256265997886658e-08, 96.47591400146484] episodes={20.9175, 20.9175} time={2.7123, 2.1762, 0.5360}
5: loss=[9.778887033462524e-09, 116.5877685546875] episodes={24.0824, 24.0824} time={2.5310, 1.9716, 0.5593}
6: loss=[1.5832483768463135e-08, 80.72029113769531] episodes={20.5253, 20.5253} time={2.6247, 2.1072, 0.5174}
7: loss=[-6.984919309616089e-10, 87.98072052001953] episodes={20.0396, 20.0396} time={3.1984, 2.6284, 0.5699}
8: loss=[-2.1653249859809875e-08, 63.32868194580078] episodes={20.1980, 20.1980} time={2.5610, 2.0223, 0.5386}
9: loss=[-1.5832483768463135e-08, 73.69400787353516] episodes={21.0412, 21.0412} time={2.7777, 2.0965, 0.6810}
10: loss=[1.862645149230957e-09, 96.20156860351562] episodes={23.7674, 23.7674} time={2.4178, 1.8727, 0.5449}
11: loss=[2.0954757928848267e-08, 94.61687469482422] episodes={21.2083, 21.2083} time={3.2221, 2.6634, 0.5586}
12: loss=[1.3795215636491776e-08, 94.60428619384766] episodes={22.9326, 22.9326} time={2.4182, 1.8280, 0.5900}
13: loss=[-1.1059455573558807e-08, 149.41049194335938] episodes={26.2468, 26.2468} time={2.5173, 2.0115, 0.5057}
14: loss=[-1.0710209608078003e-08, 111.47581481933594] episodes={23.1136, 23.1136} time={2.4858, 1.8944, 0.5907}
15: loss=[-4.0745362639427185e-09, 57.72300720214844] episodes={19.5962, 19.5962} time={3.6396, 3.1044, 0.5351}
16: loss=[1.5366822481155396e-08, 113.75100708007812] episodes={23.1591, 23.1591} time={2.5679, 1.9906, 0.5771}
1: loss=[7.171183824539185e-08, 267.5581359863281] episodes={21.8602, 21.8602} time={3.6190, 2.5790, 1.0398}
2: loss=[-4.190951585769653e-09, 375.4570617675781] episodes={26.3766, 26.3766} time={3.1274, 2.0723, 1.0550}
3: loss=[-6.309710443019867e-08, 227.85694885253906] episodes={22.7222, 22.7222} time={3.2154, 2.0266, 1.1875}
4: loss=[-1.7695128917694092e-08, 193.8182373046875] episodes={23.6860, 23.6860} time={3.7504, 2.5611, 1.1892}
5: loss=[6.05359673500061e-09, 141.36370849609375] episodes={23.2614, 23.2614} time={3.1246, 2.0460, 1.0784}
6: loss=[-5.820766091346741e-09, 152.29644775390625] episodes={23.4138, 23.4138} time={3.2086, 1.9957, 1.2127}
7: loss=[-2.3283064365386963e-10, 78.76273345947266] episodes={22.2391, 22.2391} time={3.7546, 2.6120, 1.1424}
8: loss=[-1.4901161193847656e-08, 75.69282531738281] episodes={20.2376, 20.2376} time={3.1823, 2.0988, 1.0834}
9: loss=[-4.6566128730773926e-09, 74.80487060546875] episodes={22.8202, 22.8202} time={3.0044, 1.9337, 1.0706}
10: loss=[-1.6298145055770874e-09, 109.07325744628906] episodes={22.9655, 22.9655} time={3.3024, 2.0547, 1.2471}
11: loss=[1.1641532182693481e-08, 92.77241516113281] episodes={21.9462, 21.9462} time={3.4339, 2.3281, 1.1057}
12: loss=[-2.3283064365386963e-09, 117.89921569824219] episodes={24.0235, 24.0235} time={2.8646, 1.8359, 1.0285}
13: loss=[7.450580596923828e-09, 118.71856689453125] episodes={24.3690, 24.3690} time={4.2184, 2.6854, 1.5322}
14: loss=[1.1874362826347351e-08, 102.50935363769531] episodes={23.0000, 23.0000} time={5.2984, 4.1891, 1.1092}
15: loss=[2.537854015827179e-08, 103.79579162597656] episodes={22.4176, 22.4176} time={3.9781, 2.8921, 1.0859}
16: loss=[3.259629011154175e-09, 96.68145751953125] episodes={22.5889, 22.5889} time={3.8111, 2.5876, 1.2235}
17: loss=[-8.847564458847046e-09, 75.54659271240234] episodes={21.7766, 21.7766} time={3.9824, 2.8075, 1.1748}
18: loss=[1.3969838619232178e-09, 91.91278076171875] episodes={22.8736, 22.8736} time={3.3507, 2.2634, 1.0872}
19: loss=[-6.984919309616089e-10, 65.72726440429688] episodes={19.0748, 19.0748} time={3.8393, 2.6550, 1.1842}
20: loss=[-1.7695128917694092e-08, 97.47428131103516] episodes={23.5287, 23.5287} time={2.9991, 1.8462, 1.1527}
21: loss=[-6.752088665962219e-09, 93.95187377929688] episodes={21.9355, 21.9355} time={3.0465, 1.9632, 1.0832}
1: loss=[-1.41095370054245e-07, 225.838623046875] episodes={21.2292, 21.2292} time={3.2253, 2.0272, 1.1980}
2: loss=[-2.8870999813079834e-08, 160.64097595214844] episodes={20.5960, 20.5960} time={3.1452, 2.0192, 1.1259}
3: loss=[8.038477972149849e-08, 223.30667114257812] episodes={21.7553, 21.7553} time={3.6822, 2.3415, 1.3405}
4: loss=[-1.3154931366443634e-08, 183.27780151367188] episodes={23.8140, 23.8140} time={3.8310, 2.5120, 1.3183}
5: loss=[5.587935447692871e-09, 93.34774017333984] episodes={20.0392, 20.0392} time={3.0443, 2.0186, 1.0254}
6: loss=[-1.3969838619232178e-09, 133.989990234375] episodes={27.1733, 27.1733} time={4.0945, 2.5140, 1.5785}
7: loss=[-6.28642737865448e-09, 122.08737182617188] episodes={23.8140, 23.8140} time={3.5397, 2.1648, 1.3747}
8: loss=[1.792795956134796e-08, 126.29859924316406] episodes={24.1807, 24.1807} time={3.5746, 2.3087, 1.2656}
